person,Acessibilidade da rota
teatro-municipal-dix-huit-rosado_nova-vida,42.17741935483871
teatro-municipal-dix-huit-rosado_abolicao-5,50.41935483870968
nova-mossoro_teatro-municipal-dix-huit-rosado,80.7258064516129
abolicao-5_sumare,82.24193548387096
cidade-oeste_sumare,84.30645161290323
abolicao-5_cidade-oeste,94.2258064516129
odete-rosado_teatro-municipal-dix-huit-rosado,95.7258064516129
sumare_cidade-oeste,98.29032258064517
cidade-oeste_nova-vida,98.40322580645162
nova-vida_cidade-oeste,98.88709677419355
teatro-municipal-dix-huit-rosado_sumare,100.19354838709677
bom-pastor_cidade-oeste,100.51612903225806
odete-rosado_cidade-oeste,101.37096774193549
cidade-oeste_teatro-municipal-dix-huit-rosado,104.79032258064517
abolicao-5_odete-rosado,107.62903225806451
sumare_odete-rosado,107.79032258064517
abolicao-5_bom-pastor,109.48387096774194
cidade-oeste_odete-rosado,109.8225806451613
abolicao-5_teatro-municipal-dix-huit-rosado,110.75806451612904
teatro-municipal-dix-huit-rosado_odete-rosado,111.09677419354838
nova-vida_teatro-municipal-dix-huit-rosado,112.20967741935483
teatro-municipal-dix-huit-rosado_nova-mossoro,112.70967741935483
sumare_teatro-municipal-dix-huit-rosado,115.08064516129032
alto-das-brisas_teatro-municipal-dix-huit-rosado,115.56451612903226
odete-rosado_nova-vida,116.20967741935483
nova-mossoro_abolicao-5,121.6774193548387
odete-rosado_abolicao-5,123.5
nova-vida_sumare,124.2258064516129
teatro-municipal-dix-huit-rosado_bom-pastor,125.3225806451613
abolicao-5_nova-mossoro,128.56451612903226
alto-das-brisas_nova-vida,131.2258064516129
abolicao-5_nova-vida,132.38709677419354
cidade-oeste_nova-mossoro,134.33870967741936
abolicao-5_partage-shopping,137.3548387096774
bom-pastor_partage-shopping,152.43548387096774
cidade-oeste_partage-shopping,152.91935483870967
bom-pastor_nova-vida,153.83870967741936
sumare_abolicao-5,154.20967741935485
nova-vida_abolicao-5,154.41935483870967
nova-mossoro_nova-vida,155.20967741935485
odete-rosado_partage-shopping,155.51612903225808
sumare_bom-pastor,158.20967741935485
nova-vida_bom-pastor,163.96774193548387
alto-das-brisas_abolicao-5,165.7741935483871
odete-rosado_bom-pastor,167.91935483870967
bom-pastor_teatro-municipal-dix-huit-rosado,168.6451612903226
partage-shopping_teatro-municipal-dix-huit-rosado,169.25806451612902
bom-pastor_abolicao-5,171.41935483870967
alto-das-brisas_bom-pastor,171.67741935483872
nova-mossoro_sumare,172.20967741935485
nova-mossoro_partage-shopping,190.5
sumare_partage-shopping,193.53225806451613
nova-vida_partage-shopping,202.5483870967742
partage-shopping_nova-vida,203.93548387096774
alto-das-brisas_partage-shopping,204.11290322580646
cidade-oeste_abolicao-5,205.7258064516129
partage-shopping_abolicao-5,208.40322580645162
bom-pastor_nova-mossoro,213.0
bom-pastor_sumare,227.82258064516128
cidade-oeste_bom-pastor,228.5483870967742
partage-shopping_bom-pastor,228.69354838709677
sumare_nova-vida,233.2258064516129
alto-das-brisas_sumare,261.3709677419355
